============================== syn10
syn10, numTalks = 10, numSlots = 10
============================== baseline_results
------- SWM Metrics:
NCG_Gini        : 0.037
NCG_max-NCG_min : 0.223
NCG_mean        : 0.890
NEC_Gini        : 0.078
NEC_max-NEC_min : 0.386
NEC_mean        : 0.858
TEP             : 30.224415486673877

------- PFair Metrics:
NCG_Gini        : 0.010
NCG_max-NCG_min : 0.039
NCG_mean        : 0.824
NEC_Gini        : 0.086
NEC_max-NEC_min : 0.379
NEC_mean        : 0.806
TEP             : 27.80547321591618

------- SFair Metrics:
NCG_Gini        : 0.078
NCG_max-NCG_min : 0.411
NCG_mean        : 0.720
NEC_Gini        : 0.041
NEC_max-NEC_min : 0.138
NEC_mean        : 0.702
TEP             : 24.666999452779947

------- IAM Metrics:
NCG_Gini        : 0.087
NCG_max-NCG_min : 0.471
NCG_mean        : 0.751
NEC_Gini        : 0.141
NEC_max-NEC_min : 0.542
NEC_mean        : 0.718
TEP             : 25.716271790133003

lamda_values [0.0, 0.001, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]
=================================== syn10 lamda_1 (lamda = 1, lamda_2 = 0.5) === NCG_mean ===
(0.0,	0.746)
(0.001,	0.746)
(0.01,	0.746)
(0.02,	0.740)
(0.03,	0.740)
(0.04,	0.740)
(0.05,	0.740)
(0.06,	0.740)
(0.07,	0.740)
(0.08,	0.740)
(0.09,	0.740)
(0.1,	0.740)
(0.2,	0.795)
(0.3,	0.795)
(0.4,	0.849)
(0.5,	0.849)
(0.6,	0.849)
(0.7,	0.849)
(0.8,	0.849)
(0.9,	0.849)
(1.0,	0.849)
=================================== syn10 lamda_1 (lamda = 1, lamda_2 = 0.5) === NCG_max-NCG_min ===
(0.0,	0.323)
(0.001,	0.323)
(0.01,	0.323)
(0.02,	0.273)
(0.03,	0.273)
(0.04,	0.273)
(0.05,	0.273)
(0.06,	0.273)
(0.07,	0.273)
(0.08,	0.273)
(0.09,	0.273)
(0.1,	0.273)
(0.2,	0.130)
(0.3,	0.130)
(0.4,	0.068)
(0.5,	0.068)
(0.6,	0.068)
(0.7,	0.068)
(0.8,	0.068)
(0.9,	0.068)
(1.0,	0.068)
=================================== syn10 lamda_1 (lamda = 1, lamda_2 = 0.5) === NCG_Gini ===
(0.0,	0.063)
(0.001,	0.063)
(0.01,	0.063)
(0.02,	0.074)
(0.03,	0.074)
(0.04,	0.074)
(0.05,	0.074)
(0.06,	0.074)
(0.07,	0.074)
(0.08,	0.074)
(0.09,	0.074)
(0.1,	0.074)
(0.2,	0.029)
(0.3,	0.029)
(0.4,	0.016)
(0.5,	0.016)
(0.6,	0.016)
(0.7,	0.016)
(0.8,	0.016)
(0.9,	0.016)
(1.0,	0.016)
=================================== syn10 lamda_1 (lamda = 1, lamda_2 = 0.5) === NEC_mean ===
(0.0,	0.726)
(0.001,	0.726)
(0.01,	0.726)
(0.02,	0.723)
(0.03,	0.723)
(0.04,	0.723)
(0.05,	0.723)
(0.06,	0.723)
(0.07,	0.723)
(0.08,	0.723)
(0.09,	0.723)
(0.1,	0.723)
(0.2,	0.768)
(0.3,	0.768)
(0.4,	0.820)
(0.5,	0.820)
(0.6,	0.820)
(0.7,	0.820)
(0.8,	0.820)
(0.9,	0.820)
(1.0,	0.820)
=================================== syn10 lamda_1 (lamda = 1, lamda_2 = 0.5) === NEC_max-NEC_min ===
(0.0,	0.138)
(0.001,	0.138)
(0.01,	0.138)
(0.02,	0.138)
(0.03,	0.138)
(0.04,	0.138)
(0.05,	0.138)
(0.06,	0.138)
(0.07,	0.138)
(0.08,	0.138)
(0.09,	0.138)
(0.1,	0.138)
(0.2,	0.207)
(0.3,	0.207)
(0.4,	0.286)
(0.5,	0.286)
(0.6,	0.286)
(0.7,	0.286)
(0.8,	0.286)
(0.9,	0.286)
(1.0,	0.286)
=================================== syn10 lamda_1 (lamda = 1, lamda_2 = 0.5) === NEC_Gini ===
(0.0,	0.031)
